chSaj1	হডে হন্ডে তুন?
chSaj2	তুই হডে ?
chSaj3	আর শার্টগো তুয়াই ন পাইর।
chSaj4	পাইত্তাম ন হই ত।
chSaj5	তুই হার আয় আইর।
chSaj6	আর আত্তে তুর নাট্টই ভাল  ন লার।
chSaj7	ভাল আছো রিমি?
chSaj8	আর লয় হোতা  না হতো।
chSaj9	তুয়ার হতা উনি আর পরান আদ্ধান আদ্ধান অই গেইয়ি।
chSaj10	তুই পল না?
chSaj11	আসদ্দে কিল্লাই?
chSaj12	গরমে ত আয় সিদ্ধ হয়ে গুই।
chSaj13	আরে  কি এক্কানা ভালাবাসিত ন পরনা?
chSaj14	আসিফ ত আর বন্ধু।
chSaj15	আয় এক্কান এক্কান বুয়িয়ে ।
chSaj16	মনে মনে কি হদ্দে।
chSaj17	আর বমি বমি লাড্ডে।
chSaj18	আয় রাগ কইচ্ছি।
chSaj19	আর ভাল না লার।
chSaj20	এডা আয়ু ।
chSaj21	আজিয়ে আর মন ভালা নাই।